Ind,text,summary,summary_Актуальность,summary_Последовательность,summary_Беглость,summary_Согласованность,summary_Комментарий,mbart_predictions,mbart_predictions_Актуальность,mbart_predictions_Последовательность,mbart_predictions_Беглость,mbart_predictions_Согласованность,mbart_predictions_Комментарий,mt5_predictions,mt5_predictions_Актуальность,mt5_predictions_Последовательность,mt5_predictions_Беглость,mt5_predictions_Согласованность,mt5_predictions_Комментарий,summarunner_predictions,summarunner_predictions_Актуальность,summarunner_predictions_Последовательность,summarunner_predictions_Беглость,summarunner_predictions_Согласованность,summarunner_predictions_Комментарий,llama_7b_predictions_Актуальность,llama_7b_predictions_Последовательность,llama_7b_predictions_Беглость,llama_7b_predictions_Согласованность,llama_7b_predictions_Комментарий,starling_predictions_Актуальность,starling_predictions_Последовательность,starling_predictions_Беглость,starling_predictions_Согласованность,starling_predictions_Комментарий,yagpt_predictions_Актуальность,yagpt_predictions_Последовательность,yagpt_predictions_Беглость,yagpt_predictions_Согласованность,yagpt_predictions_Комментарий,yagpt3_predictions_Актуальность,yagpt3_predictions_Последовательность,yagpt3_predictions_Беглость,yagpt3_predictions_Согласованность,yagpt3_predictions_Комментарий,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,title,text,summary,mbart_predictions,mt5_predictions,summarunner_predictions,llama_7b_predictions,starling_predictions,yagpt_predictions,yagpt3_predictions,mbart_predictions_bertscore_precision,mbart_predictions_bertscore_recall,mbart_predictions_bertscore_f1,mt5_predictions_bertscore_precision,mt5_predictions_bertscore_recall,mt5_predictions_bertscore_f1,summarunner_predictions_bertscore_precision,summarunner_predictions_bertscore_recall,summarunner_predictions_bertscore_f1,llama_7b_predictions_bertscore_precision,llama_7b_predictions_bertscore_recall,llama_7b_predictions_bertscore_f1,starling_predictions_bertscore_precision,starling_predictions_bertscore_recall,starling_predictions_bertscore_f1,yagpt_predictions_bertscore_precision,yagpt_predictions_bertscore_recall,yagpt_predictions_bertscore_f1,yagpt3_predictions_bertscore_precision,yagpt3_predictions_bertscore_recall,yagpt3_predictions_bertscore_f1,mbart_predictions_rouge1,mbart_predictions_rouge2,mbart_predictions_rougeL,mbart_predictions_rougeLsum,mt5_predictions_rouge1,mt5_predictions_rouge2,mt5_predictions_rougeL,mt5_predictions_rougeLsum,summarunner_predictions_rouge1,summarunner_predictions_rouge2,summarunner_predictions_rougeL,summarunner_predictions_rougeLsum,llama_7b_predictions_rouge1,llama_7b_predictions_rouge2,llama_7b_predictions_rougeL,llama_7b_predictions_rougeLsum,starling_predictions_rouge1,starling_predictions_rouge2,starling_predictions_rougeL,starling_predictions_rougeLsum,yagpt_predictions_rouge1,yagpt_predictions_rouge2,yagpt_predictions_rougeL,yagpt_predictions_rougeLsum,yagpt3_predictions_rouge1,yagpt3_predictions_rouge2,yagpt3_predictions_rougeL,yagpt3_predictions_rougeLsum,mbart_predictions_meteor,mt5_predictions_meteor,summarunner_predictions_meteor,llama_7b_predictions_meteor,starling_predictions_meteor,yagpt_predictions_meteor,yagpt3_predictions_meteor
53,"Постоянно включенный Bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил агентству « Прайм » доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев. По словам эксперта, хакеры могут использовать Bluetooth для взлома электронного устройства. «Возможность взлома Bluetooth может подвергнуть опасности любую информацию, хранящуюся на устройстве (фотографии, электронные письма, тексты). Кроме этого злоумышленник сможет получить контроль над устройством и отправлять на него нежелательные данные», — заявил Тимофеев. Эксперт рекомендует отключать Bluetooth, как только в нем исчезает необходимость, так как эта функция в активированном состоянии является «находкой для мошенников». Действительно, технология Bluetooth уже давно является головной болью для тех, кто занимается информационной безопасностью. Ни одна хакерская конференция в мире не проходит без презентации того, как с помощью Bluetooth можно взломать смартфон и украсть личные данные, или подслушать участника телефонного разговора. На одном из крупнейших подобных мероприятий, DEF CON, ежегодно проходящем в Лас-Вегасе, всем участникам настоятельно рекомендуют отключить Bluetooth во время посещения, сообщает Mashable. Известно, что с помощью Bluetooth злоумышленники могут получить контроль над незащищенными динамиками и колонками, заставив их проигрывать «опасные» звуки, которые при неудачном стечении обстоятельств могут обернуться для владельца гаджета частичной потерей слуха. Кроме того, Bluetooth позволяет хакерам перехватывать передаваемые данные и вносить в них свои изменения. Также Bluetooth может быть использован для слежки за покупателями и фиксированием их перемещений. Эта информация впоследствии передается рекламодателям, которые создают шопинг-портреты потребителей для более успешного рекламного таргетинга. «Мы не сталкивались с какой-либо атакой, которую можно было предотвратить, отключив Bluetooth на телефоне или отключив режим обнаружения. Для проведения большинства атак злоумышленникам нужно узнать MAC-адрес Bluetooth жертвы — то есть что-то, что однозначно идентифицирует целевой приемник Bluetooth. Например, это может быть номер телефона. Конечно, это легче сделать, если телефон можно обнаружить. Поэтому, если вы постоянно не используете Bluetooth, его лучше отключать», — рассказал «Газете.Ru» старший инженер-программист Avast Войтех Бочек. Постоянно включенный Bluetooth несет в себе значительную угрозу безопасности телефона и его владельца, соглашается руководитель группы системных инженеров по работе с партнерами в России Check Point Software Technologies Ltd. Сергей Забула. Мошенники непрерывно совершенствуют методы атак, и небольшой радиус распространения Bluetooth-сигнала уже не является для них проблемой. «Используя усилители, хакеры могут проникнуть в устройство пользователя, даже не запрашивая его разрешения и не зная секретного ключа соединения. Так, недавно обнаруженная французскими исследователями уязвимость в Bluetooth затронула миллиарды мобильных телефонов по всему миру. В результате атаки на протокол злоумышленник мог выдавать своё устройство за то, с которым уже спарено устройство жертвы», — пояснил Забула. Последствия атак с использованием Bluetooth могут быть разнообразны. Так, всего за несколько секунд мошенники могут подключиться к устройству пользователя, установить вредоносное ПО и в итоге украсть или удалить ценную информацию. Более того, через Bluetooth хакеры могут прослушивать звонки, устанавливать их переадресацию, а также отправлять вызовы и текстовые сообщения, что в свою очередь ведет к финансовым потерям жертвы. Также, с помощью Bluetooth соединения мошенники могут осуществить DoS-атаку (атака отказа в обслуживании), и полностью вывести телефон из строя. «Защититься от подобных атак можно с помощью постоянного обновления ОС. Однако основной способ — это использование Bluetooth на мобильном устройстве только по мере необходимости. Также для защиты мобильных устройств и критичных данных на них от различных видов угроз специалисты рекомендуют использовать решения класса Mobile Threat Defense (MTD)», — рекомендует эксперт.","Активированный в смартфоне Bluetooth может представлять угрозу для владельца устройства — хакеры могут использовать его, чтобы без особых усилий взломать гаджет, предупреждает эксперт. Эта технология, являющаяся «проклятием» для ИБ-специалистов, действительно обладает слабым уровнем защищенности, поэтому использовать ее рекомендуется как можно реже.",5,5,5,5,[nan],"Постоянно включенный Bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев. С помощью Bluetooth злоумышленники могут получить контроль над незащищенными динамиками и колонками, заставив их проигрывать «опасные» звуки, которые при неудачном стечении обстоятельств могут обернуться для владельца гаджета частичной потерей слуха.
",4,4,5,4,[nan],"Эксперты предупреждают о том, что отключать Bluetooth на смартфоне может грозить более серьезными проблемами.
",1,1,3,2,[nan],"постоянно включенный bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил агентству « прайм » доцент кафедры информатики рэу им. плеханова александр тимофеев. по словам эксперта, хакеры могут использовать bluetooth для взлома электронного устройства. сергей забула.
",4,5,4,4,[nan],5,5,3,3,[nan],4,5,3,3,[nan],4,4,5,3,[nan],4,5,5,5,[nan],0,0,53,53,Названа опасность постоянно включенного Bluetooth ,"Постоянно включенный Bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил агентству « Прайм » доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев. По словам эксперта, хакеры могут использовать Bluetooth для взлома электронного устройства. «Возможность взлома Bluetooth может подвергнуть опасности любую информацию, хранящуюся на устройстве (фотографии, электронные письма, тексты). Кроме этого злоумышленник сможет получить контроль над устройством и отправлять на него нежелательные данные», — заявил Тимофеев. Эксперт рекомендует отключать Bluetooth, как только в нем исчезает необходимость, так как эта функция в активированном состоянии является «находкой для мошенников». Действительно, технология Bluetooth уже давно является головной болью для тех, кто занимается информационной безопасностью. Ни одна хакерская конференция в мире не проходит без презентации того, как с помощью Bluetooth можно взломать смартфон и украсть личные данные, или подслушать участника телефонного разговора. На одном из крупнейших подобных мероприятий, DEF CON, ежегодно проходящем в Лас-Вегасе, всем участникам настоятельно рекомендуют отключить Bluetooth во время посещения, сообщает Mashable. Известно, что с помощью Bluetooth злоумышленники могут получить контроль над незащищенными динамиками и колонками, заставив их проигрывать «опасные» звуки, которые при неудачном стечении обстоятельств могут обернуться для владельца гаджета частичной потерей слуха. Кроме того, Bluetooth позволяет хакерам перехватывать передаваемые данные и вносить в них свои изменения. Также Bluetooth может быть использован для слежки за покупателями и фиксированием их перемещений. Эта информация впоследствии передается рекламодателям, которые создают шопинг-портреты потребителей для более успешного рекламного таргетинга. «Мы не сталкивались с какой-либо атакой, которую можно было предотвратить, отключив Bluetooth на телефоне или отключив режим обнаружения. Для проведения большинства атак злоумышленникам нужно узнать MAC-адрес Bluetooth жертвы — то есть что-то, что однозначно идентифицирует целевой приемник Bluetooth. Например, это может быть номер телефона. Конечно, это легче сделать, если телефон можно обнаружить. Поэтому, если вы постоянно не используете Bluetooth, его лучше отключать», — рассказал «Газете.Ru» старший инженер-программист Avast Войтех Бочек. Постоянно включенный Bluetooth несет в себе значительную угрозу безопасности телефона и его владельца, соглашается руководитель группы системных инженеров по работе с партнерами в России Check Point Software Technologies Ltd. Сергей Забула. Мошенники непрерывно совершенствуют методы атак, и небольшой радиус распространения Bluetooth-сигнала уже не является для них проблемой. «Используя усилители, хакеры могут проникнуть в устройство пользователя, даже не запрашивая его разрешения и не зная секретного ключа соединения. Так, недавно обнаруженная французскими исследователями уязвимость в Bluetooth затронула миллиарды мобильных телефонов по всему миру. В результате атаки на протокол злоумышленник мог выдавать своё устройство за то, с которым уже спарено устройство жертвы», — пояснил Забула. Последствия атак с использованием Bluetooth могут быть разнообразны. Так, всего за несколько секунд мошенники могут подключиться к устройству пользователя, установить вредоносное ПО и в итоге украсть или удалить ценную информацию. Более того, через Bluetooth хакеры могут прослушивать звонки, устанавливать их переадресацию, а также отправлять вызовы и текстовые сообщения, что в свою очередь ведет к финансовым потерям жертвы. Также, с помощью Bluetooth соединения мошенники могут осуществить DoS-атаку (атака отказа в обслуживании), и полностью вывести телефон из строя. «Защититься от подобных атак можно с помощью постоянного обновления ОС. Однако основной способ — это использование Bluetooth на мобильном устройстве только по мере необходимости. Также для защиты мобильных устройств и критичных данных на них от различных видов угроз специалисты рекомендуют использовать решения класса Mobile Threat Defense (MTD)», — рекомендует эксперт.","Активированный в смартфоне Bluetooth может представлять угрозу для владельца устройства — хакеры могут использовать его, чтобы без особых усилий взломать гаджет, предупреждает эксперт. Эта технология, являющаяся «проклятием» для ИБ-специалистов, действительно обладает слабым уровнем защищенности, поэтому использовать ее рекомендуется как можно реже.","Постоянно включенный Bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев. С помощью Bluetooth злоумышленники могут получить контроль над незащищенными динамиками и колонками, заставив их проигрывать «опасные» звуки, которые при неудачном стечении обстоятельств могут обернуться для владельца гаджета частичной потерей слуха.
","Эксперты предупреждают о том, что отключать Bluetooth на смартфоне может грозить более серьезными проблемами.
","постоянно включенный bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил агентству « прайм » доцент кафедры информатики рэу им. плеханова александр тимофеев. по словам эксперта, хакеры могут использовать bluetooth для взлома электронного устройства. сергей забула.
","Bluetooth постоянно включен, это опасно, так как хакеры могут взломать устройство и получить доступ к личной информации. Рекомендуется отключать Bluetooth, когда его не используется, чтобы избежать риска атак. Это может привести к потере данных, прослушиванию звонков и финансовым потерям. Защититься можно с помощью обновления ОС и использования Bluetooth только по мере необходимости. Также рекомендуется использовать решения класса Mobile Threat Defense для защиты мобильных устройств от различных угроз.","Постоянно включенный Bluetooth может создавать серьёзные безопасность проблемы для смартфона, так как он может быть использован хакерами для взлома устройства и получения доступа к хранимой на нём информации. Кроме того, злоумышленник может получить контроль над устройством и отправлять на него нежелательные данные. Эксперты рекомендуют отключать Bluetooth, когда он не нужен, чтобы снизить риск атак.

","- Постоянно включенный Bluetooth на смартфоне может привести к быстрой разрядке аккумулятора и серьезным проблемам.
- Хакеры могут использовать Bluetooth для взлома электронных устройств, включая смартфоны.
- Взлом Bluetooth может угрожать безопасности хранящейся на устройстве информации.
- Эксперт рекомендует отключать Bluetooth, когда он не используется.
- Bluetooth может быть использован для взлома смартфонов, кражи личных данных и прослушивания телефонных разговоров.
- Злоумышленники могут перехватывать передаваемые данные через Bluetooth и вносить изменения.
- Bluetooth также может быть использован для слежки за покупателями и создания шопинг-портретов.
- Отключение Bluetooth может помочь предотвратить атаки и обеспечить безопасность телефона и его владельца.","Доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев сообщил, что постоянно включённый Bluetooth на смартфоне может привести к быстрой разрядке аккумулятора и серьёзным проблемам с безопасностью.

Хакеры могут использовать Bluetooth для взлома устройства и получения доступа к личным данным, слежки за пользователями и внесения изменений в передаваемые данные.

Старший инженер-программист Avast Войтех Бочек и руководитель группы системных инженеров Check Point Software Technologies Ltd. Сергей Забула также отмечают опасность постоянно включённого Bluetooth.

Последствия атак с использованием Bluetooth могут быть разнообразными: от кражи или удаления информации до финансовых потерь и вывода телефона из строя.

Эксперты рекомендуют отключать Bluetooth, когда он не используется, и применять решения класса Mobile Threat Defense для защиты мобильных устройств и данных.",0.634706318378449,0.66217577457428,0.648150146007538,0.697221040725708,0.585218727588654,0.636329054832459,0.618635177612305,0.642960250377655,0.630563199520111,0.626198887825012,0.638852417469025,0.632462322711945,0.671103298664093,0.657497525215149,0.664230704307556,0.655310034751892,0.665902733802795,0.660563945770264,0.605509281158447,0.668242335319519,0.635330975055695,0.228070175438596,0.0178571428571428,0.157894736842105,0.157894736842105,0.151515151515152,0,0.0909090909090909,0.0909090909090909,0.262626262626263,0.0412371134020618,0.161616161616162,0.161616161616162,0.299212598425197,0.032,0.15748031496063,0.15748031496063,0.234234234234234,0.036697247706422,0.162162162162162,0.162162162162162,0.176100628930818,0.0254777070063694,0.125786163522013,0.138364779874214,0.171428571428571,0.0115606936416184,0.102857142857143,0.114285714285714,0.126459143968872,0.0536480686695279,0.168244652570447,0.207256881843078,0.12720156555773,0.16830417039356,0.139372822299652
204,"Китайское издание Sina высоко оценило новый российский боевой железнодорожный ракетный комплекс (БЖРК) «Баргузин». «Это смертельное оружие России — насколько оно ужасающее? Его характеристик достаточно, чтобы у американских военных застыла кровь в жилах», — гласит название статьи об оружии. Журналисты обратили внимание, что до «Баргузина» Россия использовала БЖРК «Молодец», разработанный еще в Советском Союзе. Это оружие было признано устаревшим и снято с вооружения в 2005 году. Как отметили в материале Sina, Россия всегда опережала другие страны в области исследований и разработок ракетных комплексов, в частности, из-за угрозы со стороны Соединенных Штатов. Из-за проблем с финансированием проекта исследования и разработки БЖРК были приостановлены в 2017 году, но сейчас этот проект можно снова запустить, что не может не радовать Россию, пишут китайские журналисты. Вместе с тем они отметили, что, хотя этот железнодорожный ракетный комплекс имеет огромную мощность, высокую скрытность и маскировку, у него есть недостатки, в первую очередь — финансовые. Как отметили в издании, обслуживание «Баргузина» достаточно трудное и требует немалых затрат. Кроме того, мощность запусков БЖРК зависит не только от характеристик самого ракетного комплекса, но и от конструкции российской железнодорожной сети: «Баргузин» сыграет наибольшую роль только в тех районах, где высоко развита система железных дорог. По мнению китайских журналистов, хотя эта система очень мощная и может представлять серьезную угрозу для США, она станет не основой ракетного вооружения России, а, скорее, дополнительным оборудованием для других ракетных систем. «Однако, несмотря на то что «Баргузин» сталкивается со множеством проблем, само наличие этого проекта уже является неким давлением на США. По сравнению с «Баргузином», ранее разработанный Советским Союзом БЖРК «Молодец» имел много проблем: например, ракеты были слишком тяжелыми, чтобы их можно было разместить в обычном вагоне, а эффективность маскировки была невысокой. Но даже несмотря на это, Америка опасалась этого ракетного комплекса, что уж говорить о более продвинутом БЖРК «Баргузин», — приводит цитату из статьи «ИноСМИ». В середине июля эксперт в области стратегических вооружений, ветеран РВСН Владимир Евсеев заявил РИА «Новости», что Ракетные войска стратегического назначения России (РВСН) смогут в течение ближайших трех-пяти лет получить новый БЖРК «Баргузин». Он пояснил, что это произойдет, если российское военное руководство примет соответствующее решение. Изначально планировалось, что БЖРК нового поколения разработают к 2018 году, но за год до этого « Российская газета » со ссылкой на источник в «оборонке» сообщила, что создание «Баргузина» приостановили. «Я считаю, что развертывание «Баргузина» стало бы наиболее эффективным ответом на стратегическую угрозу, которую влечет за собой рост военных баз НАТО у российских рубежей. По моей оценке, на создание опытного образца ракеты, летные испытания и отработку различных систем уйдет порядка трех-пяти лет, для ракетного комплекса это очень короткий срок», — подчеркнул Евсеев. По его словам, проект заморозили из-за планов российского руководства на продление Договора о сокращении стратегических наступательных вооружений (СНВ-3). Но теперь пролонгация соглашения находится под большим вопросом, а Москва уже готовится к отказу США от договора. Другим фактором Евсеев назвал финансовый вопрос. Эксперт подчеркнул, что по своим характеристикам «Баргузин» существенно превосходит БЖРК «Молодец», который был вооружен слишком тяжелой ракетой: она не помещалась в обычный вагон, и это оказалось серьезным демаскирующим фактором. БЖРК «Баргузин» внешне неотличим от обычного товарного поезда. В его вагонах можно разместить три межконтинентальные баллистические ракеты с 30 боеголовками мощностью 550 килотонн каждая. Кроме того, там находятся командные пункты, технологические и технические системы, средства связи и личный состав. При возникновении угрозы ядерной войны БЖРК должен будет выйти на маршруты патрулирования и, слившись с потоком других железнодорожных составов, после соответствующего приказа остановиться и готовиться начать атаку. В этот момент створки на крышах трех вагонов раскроются, а спрятанные внутри механизмы приведут в вертикальное положение пусковые контейнеры ракет. Запуск происходит в течение нескольких минут.","Новый российский боевой железнодорожный ракетный комплекс «Баргузин» может представлять серьезную угрозу для США, считают китайские журналисты. Они отметили, что, несмотря на большое количество преимуществ, у комплекса также есть и недостатки, в частности финансовые. Ранее российский эксперт сообщил, что «Баргузин» может поступить на вооружение в течение ближайших трех-пяти лет.",5,5,5,5,[nan],"Китайское издание Sina высоко оценило новый российский боевой железнодорожный ракетный комплекс «Баргузин». По мнению китайских журналистов, это оружие настолько ужасающее, что у американских военных застыла кровь в жилах. Вместе с тем, в издании отметили, что до «Баргузина» Россия использовала БЖРК «Молодец», разработанный еще в Советском Союзе. Это оружие было признано устаревшим и снято с вооружения в 2005 году.
",4,4,5,5,[nan],"В обзоре китайских СМИ:
",1,1,1,1,[nan],"китайское издание sina высоко оценило новый российский боевой железнодорожный ракетный комплекс (бжрк) «баргузин». журналисты обратили внимание, что до «баргузина» россия использовала бжрк «молодец», разработанный еще в советском союзе. это оружие было признано устаревшим и снято с вооружения в 2005 году.
",5,5,4,4,[nan],4,5,5,5,[nan],3,3,5,3,[nan],4,3,5,3,[nan],5,5,5,5,[nan],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"8 сентября в Японии официально стартовала избирательная кампания на пост председателя правящей Либерально-демократической партии (ЛДПЯ) и, соответственно, премьер-министра. Претендентов трое — генеральный секретарь кабинета министров Японии Есихидэ Суга, бывший министр обороны, экс-министр сельского хозяйства Сигэру Исиба и бывший министр иностранных дел Фумио Кисида. В конце августа Синдзо Абэ объявил, что уходит в отставку из-за ухудшающегося состояния здоровья. Политик, дольше всех занимавший пост премьера Японии, завершает свое правление. Выборы преемника Синдзо Абэ пройдут 14 сентября. Победителю гарантировано месте премьер-министра благодаря парламентскому большинству правящей партии. Во время последнего голосования партии в 2018 году бюллетени были разделены поровну между членами парламента и рядовыми должностными лицами. На этот раз процесс выборов будет изменен: 394 бюллетеня получат законодатели, 141 — местные чиновников. Изменения переводят голосование в противостояние внутри групп влияния внутри ЛДПЯ. Еще до начала гонки сразу три фракции, насчитывающие в общей сложности 155 депутатов, оказали свою поддержку Есихидэ Суга. С высокой долей вероятности, его же поддержат члены фракции Синдзо Абэ — самой крупной подгруппы внутри ЛДП. И это понятно, Суга — один из самых верных сторонников Абэ. Его назначение на пост председателя партии гарантирует, что линия премьер-министра будет продолжена до 2021 года — окончания срока его полномочий. Сам Суга заявляет также, что расставит акценты во внутренней и внешней политике тем же образом, что и Синдзо Абэ. Суга вырос в семье крестьянина. Это, к слову, одно из самых ярких отличий его от фигуры премьер-министра — внука бывшего премьера и сына главы МИД. В Японии у генерального секретаря кабинета министров крепкая репутация осторожного политика. В первую очередь, он занимался вопросами внутренней политики и экономики. Во внешнем направлении он задействован не был. Ожидаемо, своим главным приоритетом Суга называет развитие экономики. Такой акцент весьма понятен — кто бы не занял пост премьер-министра, он возглавит страну во время мирового экономического кризиса. Что касается внешней политики, то и здесь сюрпризов ожидать от него не стоит. Суга уже заявил журналистам, что продолжит усилия по решению проблемы похищенных в 1970-1980-х годах граждан Японии Северной Кореей — важнейшего вопроса, который так и не удалось закрыть Синдзо Абэ. В частности, Суга намерен добиться встречи с Ким Чен Ыном без каких-либо предварительных условий. Никаких изменений не стоит ожидать в позиции Японии по мирному договору с Россией. Синдзо Абэ демонстрировал достаточно сильное желание заключить договор, компромисса по которому Москва и Токио более полувека не могут достичь. Основные противоречия связаны с вопросом принадлежности Южных Курил. Россия настаивает на неоспоримости своего суверенитета над данными территориями по итогам Второй мировой войны, но Япония с этим не согласна. Токио считает своими «северными территориями» четыре острова — Кунашир, Шикотан, Итуруп и Хабомаи. Японские власти объясняют это Симодским трактатом о границах и торговле от 1855 года, который был подписан между Российской империей и Японией. А декларация 1956 года предполагает, что Россия готова рассмотреть передачу Японии двух из четырех спорных островов. Как бы то ни было, но результатов в вопросе заключения мирного договора Синдзо Абэ так и не удалось получить. Россия выражала готовность заключить соглашение без предварительных условий. Для Японии же смысл мирного договора заключается в возвращении территорий. Готовность продолжить линию Абэ означает всего лишь видимый прогресс в этом направлении — это частые встречи лидеров и руководства двух стран, а также доброжелательные заявления и комплименты в адрес друг друга. В отличие от Суга, Фумио Кисида, как бывший глава МИД, в вопросах внешней политики чувствует себя уверенно. Кисиду знают на мировой арене, он уже успел зарекомендовать себя и обзавестись контактами с зарубежными партнерами, в том числе и с Россией. Как сообщали японские СМИ, во время дипломатического ужина в 2013 году Кисидо практически бросил вызов главе МИД России Сергею Лаврову , предложив распивать чашечки с саке одну за одной. В Японии Кисидо — пример сдержанности и надежности. В отличие от Суга он, вероятно, будет принимать более активное участие в вопросах внешней политики. При Абэ Россия и Япония демонстрировали взаимную доброжелательность, готовность к диалогу и решимость урегулировать спорный вопрос. Иными словами, единственным буксиром в процессе диалога по заключению мирного договора стали хорошие отношения между двумя лидерами и настрой Синдзо Абэ. Многочисленные контакты проходили и по линии МИД, так что почти наверняка Кисидо не станет терять этого преимущества. Единственным откровенным критиком Синдзо Абэ среди кандидатов является экс-министр сельского хозяйства Сигэру Исиба. В течение последних нескольких лет он делал ставку именно на противостояние премьер-министру. Одна из самых запоминающихся конфронтаций Исиба и Абэ прошла во время выборов председателя ЛДПЯ в 2012 году, на которых он проиграл сопернику. Тогда Исиба заручился поддержкой рядовых членов партии, но не смог получить голоса парламентариев. На этот раз, учитывая характер проведения голосования, ситуация может вновь повториться. Несмотря на критику в адрес премьера, Исиба получил пост в правительстве, однако в 2016 году отклонил просьбу Абэ продолжить работу. После ухода политик стал одним из самых ярких внутрипартийных критиков премьера и к этой позиции, стоит сказать, немногие осмеливаются присоединиться. Он, однако, как и Абэ, разделяет позицию необходимости пересмотреть 9 статью конституции, запрещающей Японии иметь собственные сухопутные войска, флот и военно-воздушные силы, а также использовать свой военный потенциал в решении конфликтов — еще одна несбывшаяся мечта Синдзо Абэ. Исиба на посту премьер-министра приложит все усилия, чтобы добиться этого. Переговоры Токио с Москвой также становились предметом для критики Исиба в отношении премьера. В 2018 году он заявлял, что «никогда не считал, что экономическое сотрудничество (продвигаемое премьер-министром) приведет к возвращению островов». Сомнению он подвергал и тактику Абэ по решению проблемы путем создания доверительных отношений с российским руководством. «Может ли такое (возвращение территорий) действительно произойти в рамках так называемых доверительных отношений?, — заявлял он. — У нас нет другого выбора, кроме как продолжить переговоры, настаивая на справедливости нашей позиции, не отказываясь от своего суверенитета». Впрочем, неясно, какую тактику планирует выбрать Исиба в отношении России. Переговоры сторон зашли в тупик, и, судя по всему, доверительные отношения — это максимум, которого можно было добиться на этом направлении. Новый лидер Японии может их сохранить, как это сделают, вероятно, Суга и Кисида, или же испортить. Так или иначе, ни один из кандидатов не отвергнет идею возвращения островов, в то время как Россия не откажется от своей позиции, учитывая, к тому же, принятые поправки к Конституции, в числе которых — запрет на отчуждение территорий. Как отмечает в разговоре с «Газетой.Ru» профессор НИУ ВШЭ , доктор наук Сергей Лузянин , единственное, что может сделать новый премьер – это подойти по-другому к вопросу заключения мирного договора, а именно, пойти на его ратификацию без условия возвращения территорий. Однако такой вариант станет политическим самоубийством для любого на посту премьера. Вместе с тем, как отмечает эксперт, новому главе государства будет крайне нелегко сохранить курс Синдзо Абэ. «Общая обстановка — усиление антироссийских настроений, санкций и истерики вокруг известных событий — Навальный, Белоруссия и прочее. В этом общем мейнстриме, конечно, возможен сценарий ухудшения взаимоотношений с Россией, когда новый премьер-министр, чтобы набрать очки и внутри страны, и перед американским старшим братом, пойдет на это», — отмечает эксперт. Соответственно, по словам Лузянина, для продолжения курса Абэ новому премьеру необходимо будет проявить твердость и принципиальность. Кандидатом, который, с высокой долей вероятности, будет работать в этом направлении, является Есихидэ Суга, считает эксперт. «Но все равно на каком-то этапе его, если образно говорить, сломают эти внутренние запросы и внешнее давление. На начальном этапе, если он победит, скорее всего, он будет проводить курс своего начальника, шефа и товарища по партии, — отмечает эксперт. – Однако региональный тренд известен, и мировой тренд известен — это усиление антироссийской и антикитайской истерии, усиление так называемой новой «холодной войны», и в этом общем тренде Япония тоже занимает свое место, и она никуда не денется из этого процесса»","Генеральный секретарь кабинета министров Японии Есихидэ Суга, бывший министр обороны Сигэру Исиба и бывший глава МИД Фумио Кисида начали свою предвыборную кампанию в борьбе за кресло премьер-министра. Среди кандидатов только один откровенный критик премьер-министра. Остальные, с высокой долей вероятности, продолжат линию Синдзо Абэ во внешней политике. Однако по российскому направлению максимум, которого можно добиться, — это сохранение дружелюбных отношений, которые выстроил Абэ.",5,5,5,5,[nan],"В Японии официально стартовала избирательная кампания на пост председателя правящей Либерально-демократической партии и, соответственно, премьер-министра. Претендентом на этот пост стал генеральный секретарь кабинета министров Японии Есихидэ Суга, бывший министр обороны, экс-министр сельского хозяйства Сигэру Исиба и бывший министр иностранных дел Фумио Кисида.
",4,5,5,5,[nan],"Премьер-министр Японии Синдзо Абэ объявил, что уходит в отставку из-за ухудшающегося состояния здоровья. Что будет с ним сейчас?
",1,2,5,1,[nan],"8 сентября в японии официально стартовала избирательная кампания на пост председателя правящей либерально-демократической партии (лдпя) и, соответственно, премьер-министра. претендентов трое — генеральный секретарь кабинета министров японии есихидэ суга, бывший министр обороны, экс-министр сельского хозяйства сигэру исиба и бывший министр иностранных дел фумио кисида. в конце августа синдзо абэ объявил, что уходит в отставку из-за ухудшающегося состояния здоровья.
",3,4,5,4,[nan],3,5,5,4,[nan],3,4,3,3,[nan],3,5,5,3,[nan],4,4,5,4,[nan],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
