Ind,text,summary,summary_Актуальность,summary_Последовательность,summary_Беглость,summary_Согласованность,summary_Комментарий,mbart_predictions,mbart_predictions_Актуальность,mbart_predictions_Последовательность,mbart_predictions_Беглость,mbart_predictions_Согласованность,mbart_predictions_Комментарий,mt5_predictions,mt5_predictions_Актуальность,mt5_predictions_Последовательность,mt5_predictions_Беглость,mt5_predictions_Согласованность,mt5_predictions_Комментарий,summarunner_predictions,summarunner_predictions_Актуальность,summarunner_predictions_Последовательность,summarunner_predictions_Беглость,summarunner_predictions_Согласованность,summarunner_predictions_Комментарий,llama_7b_predictions,llama_7b_predictions_Актуальность,llama_7b_predictions_Последовательность,llama_7b_predictions_Беглость,llama_7b_predictions_Согласованность,llama_7b_predictions_Комментарий,starling_predictions,starling_predictions_Актуальность,starling_predictions_Последовательность,starling_predictions_Беглость,starling_predictions_Согласованность,starling_predictions_Комментарий,yagpt_predictions,yagpt_predictions_Актуальность,yagpt_predictions_Последовательность,yagpt_predictions_Беглость,yagpt_predictions_Согласованность,yagpt_predictions_Комментарий,yagpt3_predictions,yagpt3_predictions_Актуальность,yagpt3_predictions_Последовательность,yagpt3_predictions_Беглость,yagpt3_predictions_Согласованность,yagpt3_predictions_Комментарий
53,"Постоянно включенный Bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил агентству « Прайм » доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев. По словам эксперта, хакеры могут использовать Bluetooth для взлома электронного устройства. «Возможность взлома Bluetooth может подвергнуть опасности любую информацию, хранящуюся на устройстве (фотографии, электронные письма, тексты). Кроме этого злоумышленник сможет получить контроль над устройством и отправлять на него нежелательные данные», — заявил Тимофеев. Эксперт рекомендует отключать Bluetooth, как только в нем исчезает необходимость, так как эта функция в активированном состоянии является «находкой для мошенников». Действительно, технология Bluetooth уже давно является головной болью для тех, кто занимается информационной безопасностью. Ни одна хакерская конференция в мире не проходит без презентации того, как с помощью Bluetooth можно взломать смартфон и украсть личные данные, или подслушать участника телефонного разговора. На одном из крупнейших подобных мероприятий, DEF CON, ежегодно проходящем в Лас-Вегасе, всем участникам настоятельно рекомендуют отключить Bluetooth во время посещения, сообщает Mashable. Известно, что с помощью Bluetooth злоумышленники могут получить контроль над незащищенными динамиками и колонками, заставив их проигрывать «опасные» звуки, которые при неудачном стечении обстоятельств могут обернуться для владельца гаджета частичной потерей слуха. Кроме того, Bluetooth позволяет хакерам перехватывать передаваемые данные и вносить в них свои изменения. Также Bluetooth может быть использован для слежки за покупателями и фиксированием их перемещений. Эта информация впоследствии передается рекламодателям, которые создают шопинг-портреты потребителей для более успешного рекламного таргетинга. «Мы не сталкивались с какой-либо атакой, которую можно было предотвратить, отключив Bluetooth на телефоне или отключив режим обнаружения. Для проведения большинства атак злоумышленникам нужно узнать MAC-адрес Bluetooth жертвы — то есть что-то, что однозначно идентифицирует целевой приемник Bluetooth. Например, это может быть номер телефона. Конечно, это легче сделать, если телефон можно обнаружить. Поэтому, если вы постоянно не используете Bluetooth, его лучше отключать», — рассказал «Газете.Ru» старший инженер-программист Avast Войтех Бочек. Постоянно включенный Bluetooth несет в себе значительную угрозу безопасности телефона и его владельца, соглашается руководитель группы системных инженеров по работе с партнерами в России Check Point Software Technologies Ltd. Сергей Забула. Мошенники непрерывно совершенствуют методы атак, и небольшой радиус распространения Bluetooth-сигнала уже не является для них проблемой. «Используя усилители, хакеры могут проникнуть в устройство пользователя, даже не запрашивая его разрешения и не зная секретного ключа соединения. Так, недавно обнаруженная французскими исследователями уязвимость в Bluetooth затронула миллиарды мобильных телефонов по всему миру. В результате атаки на протокол злоумышленник мог выдавать своё устройство за то, с которым уже спарено устройство жертвы», — пояснил Забула. Последствия атак с использованием Bluetooth могут быть разнообразны. Так, всего за несколько секунд мошенники могут подключиться к устройству пользователя, установить вредоносное ПО и в итоге украсть или удалить ценную информацию. Более того, через Bluetooth хакеры могут прослушивать звонки, устанавливать их переадресацию, а также отправлять вызовы и текстовые сообщения, что в свою очередь ведет к финансовым потерям жертвы. Также, с помощью Bluetooth соединения мошенники могут осуществить DoS-атаку (атака отказа в обслуживании), и полностью вывести телефон из строя. «Защититься от подобных атак можно с помощью постоянного обновления ОС. Однако основной способ — это использование Bluetooth на мобильном устройстве только по мере необходимости. Также для защиты мобильных устройств и критичных данных на них от различных видов угроз специалисты рекомендуют использовать решения класса Mobile Threat Defense (MTD)», — рекомендует эксперт.","Активированный в смартфоне Bluetooth может представлять угрозу для владельца устройства — хакеры могут использовать его, чтобы без особых усилий взломать гаджет, предупреждает эксперт. Эта технология, являющаяся «проклятием» для ИБ-специалистов, действительно обладает слабым уровнем защищенности, поэтому использовать ее рекомендуется как можно реже.",,,,,,"Постоянно включенный Bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев. С помощью Bluetooth злоумышленники могут получить контроль над незащищенными динамиками и колонками, заставив их проигрывать «опасные» звуки, которые при неудачном стечении обстоятельств могут обернуться для владельца гаджета частичной потерей слуха.
",,,,,,"Эксперты предупреждают о том, что отключать Bluetooth на смартфоне может грозить более серьезными проблемами.
",,,,,,"постоянно включенный bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил агентству « прайм » доцент кафедры информатики рэу им. плеханова александр тимофеев. по словам эксперта, хакеры могут использовать bluetooth для взлома электронного устройства. сергей забула.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"Китайское издание Sina высоко оценило новый российский боевой железнодорожный ракетный комплекс (БЖРК) «Баргузин». «Это смертельное оружие России — насколько оно ужасающее? Его характеристик достаточно, чтобы у американских военных застыла кровь в жилах», — гласит название статьи об оружии. Журналисты обратили внимание, что до «Баргузина» Россия использовала БЖРК «Молодец», разработанный еще в Советском Союзе. Это оружие было признано устаревшим и снято с вооружения в 2005 году. Как отметили в материале Sina, Россия всегда опережала другие страны в области исследований и разработок ракетных комплексов, в частности, из-за угрозы со стороны Соединенных Штатов. Из-за проблем с финансированием проекта исследования и разработки БЖРК были приостановлены в 2017 году, но сейчас этот проект можно снова запустить, что не может не радовать Россию, пишут китайские журналисты. Вместе с тем они отметили, что, хотя этот железнодорожный ракетный комплекс имеет огромную мощность, высокую скрытность и маскировку, у него есть недостатки, в первую очередь — финансовые. Как отметили в издании, обслуживание «Баргузина» достаточно трудное и требует немалых затрат. Кроме того, мощность запусков БЖРК зависит не только от характеристик самого ракетного комплекса, но и от конструкции российской железнодорожной сети: «Баргузин» сыграет наибольшую роль только в тех районах, где высоко развита система железных дорог. По мнению китайских журналистов, хотя эта система очень мощная и может представлять серьезную угрозу для США, она станет не основой ракетного вооружения России, а, скорее, дополнительным оборудованием для других ракетных систем. «Однако, несмотря на то что «Баргузин» сталкивается со множеством проблем, само наличие этого проекта уже является неким давлением на США. По сравнению с «Баргузином», ранее разработанный Советским Союзом БЖРК «Молодец» имел много проблем: например, ракеты были слишком тяжелыми, чтобы их можно было разместить в обычном вагоне, а эффективность маскировки была невысокой. Но даже несмотря на это, Америка опасалась этого ракетного комплекса, что уж говорить о более продвинутом БЖРК «Баргузин», — приводит цитату из статьи «ИноСМИ». В середине июля эксперт в области стратегических вооружений, ветеран РВСН Владимир Евсеев заявил РИА «Новости», что Ракетные войска стратегического назначения России (РВСН) смогут в течение ближайших трех-пяти лет получить новый БЖРК «Баргузин». Он пояснил, что это произойдет, если российское военное руководство примет соответствующее решение. Изначально планировалось, что БЖРК нового поколения разработают к 2018 году, но за год до этого « Российская газета » со ссылкой на источник в «оборонке» сообщила, что создание «Баргузина» приостановили. «Я считаю, что развертывание «Баргузина» стало бы наиболее эффективным ответом на стратегическую угрозу, которую влечет за собой рост военных баз НАТО у российских рубежей. По моей оценке, на создание опытного образца ракеты, летные испытания и отработку различных систем уйдет порядка трех-пяти лет, для ракетного комплекса это очень короткий срок», — подчеркнул Евсеев. По его словам, проект заморозили из-за планов российского руководства на продление Договора о сокращении стратегических наступательных вооружений (СНВ-3). Но теперь пролонгация соглашения находится под большим вопросом, а Москва уже готовится к отказу США от договора. Другим фактором Евсеев назвал финансовый вопрос. Эксперт подчеркнул, что по своим характеристикам «Баргузин» существенно превосходит БЖРК «Молодец», который был вооружен слишком тяжелой ракетой: она не помещалась в обычный вагон, и это оказалось серьезным демаскирующим фактором. БЖРК «Баргузин» внешне неотличим от обычного товарного поезда. В его вагонах можно разместить три межконтинентальные баллистические ракеты с 30 боеголовками мощностью 550 килотонн каждая. Кроме того, там находятся командные пункты, технологические и технические системы, средства связи и личный состав. При возникновении угрозы ядерной войны БЖРК должен будет выйти на маршруты патрулирования и, слившись с потоком других железнодорожных составов, после соответствующего приказа остановиться и готовиться начать атаку. В этот момент створки на крышах трех вагонов раскроются, а спрятанные внутри механизмы приведут в вертикальное положение пусковые контейнеры ракет. Запуск происходит в течение нескольких минут.","Новый российский боевой железнодорожный ракетный комплекс «Баргузин» может представлять серьезную угрозу для США, считают китайские журналисты. Они отметили, что, несмотря на большое количество преимуществ, у комплекса также есть и недостатки, в частности финансовые. Ранее российский эксперт сообщил, что «Баргузин» может поступить на вооружение в течение ближайших трех-пяти лет.",,,,,,"Китайское издание Sina высоко оценило новый российский боевой железнодорожный ракетный комплекс «Баргузин». По мнению китайских журналистов, это оружие настолько ужасающее, что у американских военных застыла кровь в жилах. Вместе с тем, в издании отметили, что до «Баргузина» Россия использовала БЖРК «Молодец», разработанный еще в Советском Союзе. Это оружие было признано устаревшим и снято с вооружения в 2005 году.
",,,,,,"В обзоре китайских СМИ:
",,,,,,"китайское издание sina высоко оценило новый российский боевой железнодорожный ракетный комплекс (бжрк) «баргузин». журналисты обратили внимание, что до «баргузина» россия использовала бжрк «молодец», разработанный еще в советском союзе. это оружие было признано устаревшим и снято с вооружения в 2005 году.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"8 сентября в Японии официально стартовала избирательная кампания на пост председателя правящей Либерально-демократической партии (ЛДПЯ) и, соответственно, премьер-министра. Претендентов трое — генеральный секретарь кабинета министров Японии Есихидэ Суга, бывший министр обороны, экс-министр сельского хозяйства Сигэру Исиба и бывший министр иностранных дел Фумио Кисида. В конце августа Синдзо Абэ объявил, что уходит в отставку из-за ухудшающегося состояния здоровья. Политик, дольше всех занимавший пост премьера Японии, завершает свое правление. Выборы преемника Синдзо Абэ пройдут 14 сентября. Победителю гарантировано месте премьер-министра благодаря парламентскому большинству правящей партии. Во время последнего голосования партии в 2018 году бюллетени были разделены поровну между членами парламента и рядовыми должностными лицами. На этот раз процесс выборов будет изменен: 394 бюллетеня получат законодатели, 141 — местные чиновников. Изменения переводят голосование в противостояние внутри групп влияния внутри ЛДПЯ. Еще до начала гонки сразу три фракции, насчитывающие в общей сложности 155 депутатов, оказали свою поддержку Есихидэ Суга. С высокой долей вероятности, его же поддержат члены фракции Синдзо Абэ — самой крупной подгруппы внутри ЛДП. И это понятно, Суга — один из самых верных сторонников Абэ. Его назначение на пост председателя партии гарантирует, что линия премьер-министра будет продолжена до 2021 года — окончания срока его полномочий. Сам Суга заявляет также, что расставит акценты во внутренней и внешней политике тем же образом, что и Синдзо Абэ. Суга вырос в семье крестьянина. Это, к слову, одно из самых ярких отличий его от фигуры премьер-министра — внука бывшего премьера и сына главы МИД. В Японии у генерального секретаря кабинета министров крепкая репутация осторожного политика. В первую очередь, он занимался вопросами внутренней политики и экономики. Во внешнем направлении он задействован не был. Ожидаемо, своим главным приоритетом Суга называет развитие экономики. Такой акцент весьма понятен — кто бы не занял пост премьер-министра, он возглавит страну во время мирового экономического кризиса. Что касается внешней политики, то и здесь сюрпризов ожидать от него не стоит. Суга уже заявил журналистам, что продолжит усилия по решению проблемы похищенных в 1970-1980-х годах граждан Японии Северной Кореей — важнейшего вопроса, который так и не удалось закрыть Синдзо Абэ. В частности, Суга намерен добиться встречи с Ким Чен Ыном без каких-либо предварительных условий. Никаких изменений не стоит ожидать в позиции Японии по мирному договору с Россией. Синдзо Абэ демонстрировал достаточно сильное желание заключить договор, компромисса по которому Москва и Токио более полувека не могут достичь. Основные противоречия связаны с вопросом принадлежности Южных Курил. Россия настаивает на неоспоримости своего суверенитета над данными территориями по итогам Второй мировой войны, но Япония с этим не согласна. Токио считает своими «северными территориями» четыре острова — Кунашир, Шикотан, Итуруп и Хабомаи. Японские власти объясняют это Симодским трактатом о границах и торговле от 1855 года, который был подписан между Российской империей и Японией. А декларация 1956 года предполагает, что Россия готова рассмотреть передачу Японии двух из четырех спорных островов. Как бы то ни было, но результатов в вопросе заключения мирного договора Синдзо Абэ так и не удалось получить. Россия выражала готовность заключить соглашение без предварительных условий. Для Японии же смысл мирного договора заключается в возвращении территорий. Готовность продолжить линию Абэ означает всего лишь видимый прогресс в этом направлении — это частые встречи лидеров и руководства двух стран, а также доброжелательные заявления и комплименты в адрес друг друга. В отличие от Суга, Фумио Кисида, как бывший глава МИД, в вопросах внешней политики чувствует себя уверенно. Кисиду знают на мировой арене, он уже успел зарекомендовать себя и обзавестись контактами с зарубежными партнерами, в том числе и с Россией. Как сообщали японские СМИ, во время дипломатического ужина в 2013 году Кисидо практически бросил вызов главе МИД России Сергею Лаврову , предложив распивать чашечки с саке одну за одной. В Японии Кисидо — пример сдержанности и надежности. В отличие от Суга он, вероятно, будет принимать более активное участие в вопросах внешней политики. При Абэ Россия и Япония демонстрировали взаимную доброжелательность, готовность к диалогу и решимость урегулировать спорный вопрос. Иными словами, единственным буксиром в процессе диалога по заключению мирного договора стали хорошие отношения между двумя лидерами и настрой Синдзо Абэ. Многочисленные контакты проходили и по линии МИД, так что почти наверняка Кисидо не станет терять этого преимущества. Единственным откровенным критиком Синдзо Абэ среди кандидатов является экс-министр сельского хозяйства Сигэру Исиба. В течение последних нескольких лет он делал ставку именно на противостояние премьер-министру. Одна из самых запоминающихся конфронтаций Исиба и Абэ прошла во время выборов председателя ЛДПЯ в 2012 году, на которых он проиграл сопернику. Тогда Исиба заручился поддержкой рядовых членов партии, но не смог получить голоса парламентариев. На этот раз, учитывая характер проведения голосования, ситуация может вновь повториться. Несмотря на критику в адрес премьера, Исиба получил пост в правительстве, однако в 2016 году отклонил просьбу Абэ продолжить работу. После ухода политик стал одним из самых ярких внутрипартийных критиков премьера и к этой позиции, стоит сказать, немногие осмеливаются присоединиться. Он, однако, как и Абэ, разделяет позицию необходимости пересмотреть 9 статью конституции, запрещающей Японии иметь собственные сухопутные войска, флот и военно-воздушные силы, а также использовать свой военный потенциал в решении конфликтов — еще одна несбывшаяся мечта Синдзо Абэ. Исиба на посту премьер-министра приложит все усилия, чтобы добиться этого. Переговоры Токио с Москвой также становились предметом для критики Исиба в отношении премьера. В 2018 году он заявлял, что «никогда не считал, что экономическое сотрудничество (продвигаемое премьер-министром) приведет к возвращению островов». Сомнению он подвергал и тактику Абэ по решению проблемы путем создания доверительных отношений с российским руководством. «Может ли такое (возвращение территорий) действительно произойти в рамках так называемых доверительных отношений?, — заявлял он. — У нас нет другого выбора, кроме как продолжить переговоры, настаивая на справедливости нашей позиции, не отказываясь от своего суверенитета». Впрочем, неясно, какую тактику планирует выбрать Исиба в отношении России. Переговоры сторон зашли в тупик, и, судя по всему, доверительные отношения — это максимум, которого можно было добиться на этом направлении. Новый лидер Японии может их сохранить, как это сделают, вероятно, Суга и Кисида, или же испортить. Так или иначе, ни один из кандидатов не отвергнет идею возвращения островов, в то время как Россия не откажется от своей позиции, учитывая, к тому же, принятые поправки к Конституции, в числе которых — запрет на отчуждение территорий. Как отмечает в разговоре с «Газетой.Ru» профессор НИУ ВШЭ , доктор наук Сергей Лузянин , единственное, что может сделать новый премьер – это подойти по-другому к вопросу заключения мирного договора, а именно, пойти на его ратификацию без условия возвращения территорий. Однако такой вариант станет политическим самоубийством для любого на посту премьера. Вместе с тем, как отмечает эксперт, новому главе государства будет крайне нелегко сохранить курс Синдзо Абэ. «Общая обстановка — усиление антироссийских настроений, санкций и истерики вокруг известных событий — Навальный, Белоруссия и прочее. В этом общем мейнстриме, конечно, возможен сценарий ухудшения взаимоотношений с Россией, когда новый премьер-министр, чтобы набрать очки и внутри страны, и перед американским старшим братом, пойдет на это», — отмечает эксперт. Соответственно, по словам Лузянина, для продолжения курса Абэ новому премьеру необходимо будет проявить твердость и принципиальность. Кандидатом, который, с высокой долей вероятности, будет работать в этом направлении, является Есихидэ Суга, считает эксперт. «Но все равно на каком-то этапе его, если образно говорить, сломают эти внутренние запросы и внешнее давление. На начальном этапе, если он победит, скорее всего, он будет проводить курс своего начальника, шефа и товарища по партии, — отмечает эксперт. – Однако региональный тренд известен, и мировой тренд известен — это усиление антироссийской и антикитайской истерии, усиление так называемой новой «холодной войны», и в этом общем тренде Япония тоже занимает свое место, и она никуда не денется из этого процесса»","Генеральный секретарь кабинета министров Японии Есихидэ Суга, бывший министр обороны Сигэру Исиба и бывший глава МИД Фумио Кисида начали свою предвыборную кампанию в борьбе за кресло премьер-министра. Среди кандидатов только один откровенный критик премьер-министра. Остальные, с высокой долей вероятности, продолжат линию Синдзо Абэ во внешней политике. Однако по российскому направлению максимум, которого можно добиться, — это сохранение дружелюбных отношений, которые выстроил Абэ.",,,,,,"В Японии официально стартовала избирательная кампания на пост председателя правящей Либерально-демократической партии и, соответственно, премьер-министра. Претендентом на этот пост стал генеральный секретарь кабинета министров Японии Есихидэ Суга, бывший министр обороны, экс-министр сельского хозяйства Сигэру Исиба и бывший министр иностранных дел Фумио Кисида.
",,,,,,"Премьер-министр Японии Синдзо Абэ объявил, что уходит в отставку из-за ухудшающегося состояния здоровья. Что будет с ним сейчас?
",,,,,,"8 сентября в японии официально стартовала избирательная кампания на пост председателя правящей либерально-демократической партии (лдпя) и, соответственно, премьер-министра. претендентов трое — генеральный секретарь кабинета министров японии есихидэ суга, бывший министр обороны, экс-министр сельского хозяйства сигэру исиба и бывший министр иностранных дел фумио кисида. в конце августа синдзо абэ объявил, что уходит в отставку из-за ухудшающегося состояния здоровья.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"Член президиума координационного совета оппозиции Белоруссии Мария Колесникова находится в следственном изоляторе, сообщила ее защита. «Да, она в СИЗО , я пытаюсь попасть туда, будем разбираться», — сообщила в комментарии РИА «Новости» адвокат Колесниковой Людмила Казак. Представители штаба Виктора Бабарико , которого не допустили до участия в выборах на пост президента Белоруссии, ранее рассказали, что Колесникову поместили в СИЗО №1 на улице Володарского в Минске. Информацию, что Колесникова в следственном изоляторе, подтвердил и ее отец. «Руководитель следственной группы главного следственного управления СК Василюк позвонил мне и уведомил, что она арестована. Предложил привезти передачу», — приводит Tut.by слова Александра Колесникова. Казак отметила, что нахождение Колесниковой в СИЗО может указывать, что правоохранители дали ей процессуальный статус подозреваемой. «Раз она в СИЗО, как минимум она подозреваемая», — подчеркнула адвокат представителя оппозиции. По ее мнению, речь, скорее всего, идет об уголовном деле, которое было возбуждено по факту создания координационного совета. Сам совет оппозиции был создан по инициативе основной соперницы Александра Лукашенко Светланы Тихановской. О своей идее она заявила в середине августа, когда были объявлены окончательные результаты выборов главы государства. По данным ЦИК страны, победил Лукашенко — за него проголосовали 80,1%. Как отмечают члены совета, его задача состоит в налаживании диалога между протестующим народом и властями страны. Однако в белорусской генпрокуратуре считают, что его деятельность вне закона, так как в законодательстве республики не прописано создание координационного совета по передаче власти. В то же время утверждается, что Колесникова намеревалась покинуть территорию страны вместе с другими оппозиционерами. Якобы они хотели уехать на Украину. Но в украинском МВД заявили, что Колесникову хотели выдворить из Белоруссии, однако у властей это не получилось, так как член президиума оппозиционного совета порвала свой паспорт. Ее коллегу Антона Родненкова и Ивана Кравцова все-таки отправили на Украину. На сегодняшний день из семи членов президиума координационного совета оппозиции на свободе находится лишь нобелевский лауреат Светлана Алексиевич. Ранее она заявила, что совет не готовил государственного переворота. Наоборот, его члены хотели не допустить раскола в Белоруссии путем диалога в обществе, отметила она. «Восстал не координационный комитет, восстала страна. Я хочу повторить то, что говорю всегда. Мы не готовили переворот. Мы хотели не допустить раскола в нашей стране. Мы хотели, чтобы в обществе начался диалог», — заявила Алексиевич. Ее обращение было опубликовано на сайте белорусского ПЭН-центра. Она напомнила, что белорусский президент Лукашенко говорил, что «не будет говорить с улицей, а улица — это сотни тысяч людей, которые каждое воскресенье и каждый день выходят на улицу». Алексиевич также отметила, что все ее коллеги по президиуму КС «или в тюрьме, или выброшены за границу». «Сегодня взяли, последним, Максима Знака», — сказала она, подчеркнув, что власти «похищают лучших». В своем обращении она заверила, что вместо них «придут сотни других». Ровно месяц в Белоруссии не утихают массовые акции протеста. Самые многочисленные проходят по выходным. Протестующие недовольны результатами выборов президента. Они требуют проведения нового голосования. Но официальные власти заявляют, что «выборы состоялись» и нет причин считать их нелегитимными. Реакция властей на первые манифестации привела к тому, что ЕС заявил о намерении ввести санкции. Европейские политики посчитали, что необходимо наказать тех, кто, по их мнению, причастен к насилию над протестующими и подавлению «мирных акций».","Члена президиума оппозиционного Координационного совета Белоруссии Марию Колесникову поместили в СИЗО №1 в Минске. Это может означать, что ее держат там в статусе «как минимум подозреваемой», считает ее адвокат. По мнению защиты, скорее всего, она проходит по делу о «захвате власти». Его возбудила генпрокуратура РБ по факту создания оппозиционного органа.",,,,,,"Член президиума координационного совета оппозиции Белоруссии Мария Колесникова находится в следственном изоляторе, сообщила ее защита. По ее мнению, речь, скорее всего, идет об уголовном деле, которое было возбуждено по факту создания координационного совета.
",,,,,,"Член президиума координационного совета оппозиции Белоруссии Мария Колесникова находится в СИЗО, сообщила ее защита.
",,,,,,"член президиума координационного совета оппозиции белоруссии мария колесникова находится в следственном изоляторе, сообщила ее защита. представители штаба виктора бабарико , которого не допустили до участия в выборах на пост президента белоруссии, ранее рассказали, что колесникову поместили в сизо No1 на улице володарского в минске. информацию, что колесникова в следственном изоляторе, подтвердил и ее отец.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
