text,summary,summary_Актуальность,summary_Последовательность,summary_Беглость,summary_Согласованность,mbart_predictions,mbart_predictions_Актуальность,mbart_predictions_Последовательность,mbart_predictions_Беглость,mbart_predictions_Согласованность,mt5_predictions,mt5_predictions_Актуальность,mt5_predictions_Последовательность,mt5_predictions_Беглость,mt5_predictions_Согласованность,summarunner_predictions,summarunner_predictions_Актуальность,summarunner_predictions_Последовательность,summarunner_predictions_Беглость,summarunner_predictions_Согласованность,llama_7b_predictions,llama_7b_predictions_Актуальность,llama_7b_predictions_Последовательность,llama_7b_predictions_Беглость,llama_7b_predictions_Согласованность,starling_predictions,starling_predictions_Актуальность,starling_predictions_Последовательность,starling_predictions_Беглость,starling_predictions_Согласованность,yagpt_predictions,yagpt_predictions_Актуальность,yagpt_predictions_Последовательность,yagpt_predictions_Беглость,yagpt_predictions_Согласованность,yagpt3_predictions,yagpt3_predictions_Актуальность,yagpt3_predictions_Последовательность,yagpt3_predictions_Беглость,yagpt3_predictions_Согласованность
"Постоянно включенный Bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил агентству « Прайм » доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев. По словам эксперта, хакеры могут использовать Bluetooth для взлома электронного устройства. «Возможность взлома Bluetooth может подвергнуть опасности любую информацию, хранящуюся на устройстве (фотографии, электронные письма, тексты). Кроме этого злоумышленник сможет получить контроль над устройством и отправлять на него нежелательные данные», — заявил Тимофеев. Эксперт рекомендует отключать Bluetooth, как только в нем исчезает необходимость, так как эта функция в активированном состоянии является «находкой для мошенников». Действительно, технология Bluetooth уже давно является головной болью для тех, кто занимается информационной безопасностью. Ни одна хакерская конференция в мире не проходит без презентации того, как с помощью Bluetooth можно взломать смартфон и украсть личные данные, или подслушать участника телефонного разговора. На одном из крупнейших подобных мероприятий, DEF CON, ежегодно проходящем в Лас-Вегасе, всем участникам настоятельно рекомендуют отключить Bluetooth во время посещения, сообщает Mashable. Известно, что с помощью Bluetooth злоумышленники могут получить контроль над незащищенными динамиками и колонками, заставив их проигрывать «опасные» звуки, которые при неудачном стечении обстоятельств могут обернуться для владельца гаджета частичной потерей слуха. Кроме того, Bluetooth позволяет хакерам перехватывать передаваемые данные и вносить в них свои изменения. Также Bluetooth может быть использован для слежки за покупателями и фиксированием их перемещений. Эта информация впоследствии передается рекламодателям, которые создают шопинг-портреты потребителей для более успешного рекламного таргетинга. «Мы не сталкивались с какой-либо атакой, которую можно было предотвратить, отключив Bluetooth на телефоне или отключив режим обнаружения. Для проведения большинства атак злоумышленникам нужно узнать MAC-адрес Bluetooth жертвы — то есть что-то, что однозначно идентифицирует целевой приемник Bluetooth. Например, это может быть номер телефона. Конечно, это легче сделать, если телефон можно обнаружить. Поэтому, если вы постоянно не используете Bluetooth, его лучше отключать», — рассказал «Газете.Ru» старший инженер-программист Avast Войтех Бочек. Постоянно включенный Bluetooth несет в себе значительную угрозу безопасности телефона и его владельца, соглашается руководитель группы системных инженеров по работе с партнерами в России Check Point Software Technologies Ltd. Сергей Забула. Мошенники непрерывно совершенствуют методы атак, и небольшой радиус распространения Bluetooth-сигнала уже не является для них проблемой. «Используя усилители, хакеры могут проникнуть в устройство пользователя, даже не запрашивая его разрешения и не зная секретного ключа соединения. Так, недавно обнаруженная французскими исследователями уязвимость в Bluetooth затронула миллиарды мобильных телефонов по всему миру. В результате атаки на протокол злоумышленник мог выдавать своё устройство за то, с которым уже спарено устройство жертвы», — пояснил Забула. Последствия атак с использованием Bluetooth могут быть разнообразны. Так, всего за несколько секунд мошенники могут подключиться к устройству пользователя, установить вредоносное ПО и в итоге украсть или удалить ценную информацию. Более того, через Bluetooth хакеры могут прослушивать звонки, устанавливать их переадресацию, а также отправлять вызовы и текстовые сообщения, что в свою очередь ведет к финансовым потерям жертвы. Также, с помощью Bluetooth соединения мошенники могут осуществить DoS-атаку (атака отказа в обслуживании), и полностью вывести телефон из строя. «Защититься от подобных атак можно с помощью постоянного обновления ОС. Однако основной способ — это использование Bluetooth на мобильном устройстве только по мере необходимости. Также для защиты мобильных устройств и критичных данных на них от различных видов угроз специалисты рекомендуют использовать решения класса Mobile Threat Defense (MTD)», — рекомендует эксперт.","Активированный в смартфоне Bluetooth может представлять угрозу для владельца устройства — хакеры могут использовать его, чтобы без особых усилий взломать гаджет, предупреждает эксперт. Эта технология, являющаяся «проклятием» для ИБ-специалистов, действительно обладает слабым уровнем защищенности, поэтому использовать ее рекомендуется как можно реже.",5,5,5,5,"Постоянно включенный Bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев. С помощью Bluetooth злоумышленники могут получить контроль над незащищенными динамиками и колонками, заставив их проигрывать «опасные» звуки, которые при неудачном стечении обстоятельств могут обернуться для владельца гаджета частичной потерей слуха.
",4,4,5,5,"Эксперты предупреждают о том, что отключать Bluetooth на смартфоне может грозить более серьезными проблемами.
",2,2,3,1,"постоянно включенный bluetooth на смартфоне грозит не только быстрой разрядкой аккумулятора, но и более серьезными проблемами, сообщил агентству « прайм » доцент кафедры информатики рэу им. плеханова александр тимофеев. по словам эксперта, хакеры могут использовать bluetooth для взлома электронного устройства. сергей забула.
",3,3,3,3,"Bluetooth постоянно включен, это опасно, так как хакеры могут взломать устройство и получить доступ к личной информации. Рекомендуется отключать Bluetooth, когда его не используется, чтобы избежать риска атак. Это может привести к потере данных, прослушиванию звонков и финансовым потерям. Защититься можно с помощью обновления ОС и использования Bluetooth только по мере необходимости. Также рекомендуется использовать решения класса Mobile Threat Defense для защиты мобильных устройств от различных угроз.",5,5,3,3,"Постоянно включенный Bluetooth может создавать серьёзные безопасность проблемы для смартфона, так как он может быть использован хакерами для взлома устройства и получения доступа к хранимой на нём информации. Кроме того, злоумышленник может получить контроль над устройством и отправлять на него нежелательные данные. Эксперты рекомендуют отключать Bluetooth, когда он не нужен, чтобы снизить риск атак.

",5,5,4,5,"- Постоянно включенный Bluetooth на смартфоне может привести к быстрой разрядке аккумулятора и серьезным проблемам.
- Хакеры могут использовать Bluetooth для взлома электронных устройств, включая смартфоны.
- Взлом Bluetooth может угрожать безопасности хранящейся на устройстве информации.
- Эксперт рекомендует отключать Bluetooth, когда он не используется.
- Bluetooth может быть использован для взлома смартфонов, кражи личных данных и прослушивания телефонных разговоров.
- Злоумышленники могут перехватывать передаваемые данные через Bluetooth и вносить изменения.
- Bluetooth также может быть использован для слежки за покупателями и создания шопинг-портретов.
- Отключение Bluetooth может помочь предотвратить атаки и обеспечить безопасность телефона и его владельца.",4,4,4,4,"Доцент кафедры информатики РЭУ им. Плеханова Александр Тимофеев сообщил, что постоянно включённый Bluetooth на смартфоне может привести к быстрой разрядке аккумулятора и серьёзным проблемам с безопасностью.

Хакеры могут использовать Bluetooth для взлома устройства и получения доступа к личным данным, слежки за пользователями и внесения изменений в передаваемые данные.

Старший инженер-программист Avast Войтех Бочек и руководитель группы системных инженеров Check Point Software Technologies Ltd. Сергей Забула также отмечают опасность постоянно включённого Bluetooth.

Последствия атак с использованием Bluetooth могут быть разнообразными: от кражи или удаления информации до финансовых потерь и вывода телефона из строя.

Эксперты рекомендуют отключать Bluetooth, когда он не используется, и применять решения класса Mobile Threat Defense для защиты мобильных устройств и данных.",4,4,5,5
"Член президиума координационного совета оппозиции Белоруссии Мария Колесникова находится в следственном изоляторе, сообщила ее защита. «Да, она в СИЗО , я пытаюсь попасть туда, будем разбираться», — сообщила в комментарии РИА «Новости» адвокат Колесниковой Людмила Казак. Представители штаба Виктора Бабарико , которого не допустили до участия в выборах на пост президента Белоруссии, ранее рассказали, что Колесникову поместили в СИЗО №1 на улице Володарского в Минске. Информацию, что Колесникова в следственном изоляторе, подтвердил и ее отец. «Руководитель следственной группы главного следственного управления СК Василюк позвонил мне и уведомил, что она арестована. Предложил привезти передачу», — приводит Tut.by слова Александра Колесникова. Казак отметила, что нахождение Колесниковой в СИЗО может указывать, что правоохранители дали ей процессуальный статус подозреваемой. «Раз она в СИЗО, как минимум она подозреваемая», — подчеркнула адвокат представителя оппозиции. По ее мнению, речь, скорее всего, идет об уголовном деле, которое было возбуждено по факту создания координационного совета. Сам совет оппозиции был создан по инициативе основной соперницы Александра Лукашенко Светланы Тихановской. О своей идее она заявила в середине августа, когда были объявлены окончательные результаты выборов главы государства. По данным ЦИК страны, победил Лукашенко — за него проголосовали 80,1%. Как отмечают члены совета, его задача состоит в налаживании диалога между протестующим народом и властями страны. Однако в белорусской генпрокуратуре считают, что его деятельность вне закона, так как в законодательстве республики не прописано создание координационного совета по передаче власти. В то же время утверждается, что Колесникова намеревалась покинуть территорию страны вместе с другими оппозиционерами. Якобы они хотели уехать на Украину. Но в украинском МВД заявили, что Колесникову хотели выдворить из Белоруссии, однако у властей это не получилось, так как член президиума оппозиционного совета порвала свой паспорт. Ее коллегу Антона Родненкова и Ивана Кравцова все-таки отправили на Украину. На сегодняшний день из семи членов президиума координационного совета оппозиции на свободе находится лишь нобелевский лауреат Светлана Алексиевич. Ранее она заявила, что совет не готовил государственного переворота. Наоборот, его члены хотели не допустить раскола в Белоруссии путем диалога в обществе, отметила она. «Восстал не координационный комитет, восстала страна. Я хочу повторить то, что говорю всегда. Мы не готовили переворот. Мы хотели не допустить раскола в нашей стране. Мы хотели, чтобы в обществе начался диалог», — заявила Алексиевич. Ее обращение было опубликовано на сайте белорусского ПЭН-центра. Она напомнила, что белорусский президент Лукашенко говорил, что «не будет говорить с улицей, а улица — это сотни тысяч людей, которые каждое воскресенье и каждый день выходят на улицу». Алексиевич также отметила, что все ее коллеги по президиуму КС «или в тюрьме, или выброшены за границу». «Сегодня взяли, последним, Максима Знака», — сказала она, подчеркнув, что власти «похищают лучших». В своем обращении она заверила, что вместо них «придут сотни других». Ровно месяц в Белоруссии не утихают массовые акции протеста. Самые многочисленные проходят по выходным. Протестующие недовольны результатами выборов президента. Они требуют проведения нового голосования. Но официальные власти заявляют, что «выборы состоялись» и нет причин считать их нелегитимными. Реакция властей на первые манифестации привела к тому, что ЕС заявил о намерении ввести санкции. Европейские политики посчитали, что необходимо наказать тех, кто, по их мнению, причастен к насилию над протестующими и подавлению «мирных акций».","Члена президиума оппозиционного Координационного совета Белоруссии Марию Колесникову поместили в СИЗО №1 в Минске. Это может означать, что ее держат там в статусе «как минимум подозреваемой», считает ее адвокат. По мнению защиты, скорее всего, она проходит по делу о «захвате власти». Его возбудила генпрокуратура РБ по факту создания оппозиционного органа.",5,5,5,5,"Член президиума координационного совета оппозиции Белоруссии Мария Колесникова находится в следственном изоляторе, сообщила ее защита. По ее мнению, речь, скорее всего, идет об уголовном деле, которое было возбуждено по факту создания координационного совета.
",4,4,5,5,"Член президиума координационного совета оппозиции Белоруссии Мария Колесникова находится в СИЗО, сообщила ее защита.
",2,2,5,5,"член президиума координационного совета оппозиции белоруссии мария колесникова находится в следственном изоляторе, сообщила ее защита. представители штаба виктора бабарико , которого не допустили до участия в выборах на пост президента белоруссии, ранее рассказали, что колесникову поместили в сизо No1 на улице володарского в минске. информацию, что колесникова в следственном изоляторе, подтвердил и ее отец.
",3,3,3,5,"Мария Колесникова, член президиума координационного совета оппозиции Белоруссии, находится в следственном изоляторе. Ее адвокат сообщила, что она подозреваемая по уголовному делу о создании координационного совета. Светлана Алексиевич, нобелевский лауреат и член президиума КС, заявила, что совет не готовил государственного переворота, а стремился к диалогу в обществе. В Белоруссии продолжаются массовые акции протеста после выборов президента Александра Лукашенко. Европейский союз планирует введение санкций против тех, кто причастен к подавлению протестов и насилию над демонстрантами.",3,5,5,4,"Мария Колесникова, член президиума координационного совета оппозиции Белоруссии, находится в следственном изоляторе. Её защита подтвердила это и отметила, что нахождение Колесниковой в изоляторе может указывать на то, что правоохранители дали ей процессуальный статус подозреваемой. Она была арестована после того, как руководитель следственного отдела ГСУ СК Василюк сообщил о этом её отцу и предложил привезти передачу. По мнению адвоката Колесниковой Людмилы Казак, речь скорее всего идет об уголовном деле по факту создания координационного совета, который был организован оппозицией против действующего президента Александра Лукашенко.

",3,4,4,5,"- Член президиума координационного совета оппозиции Белоруссии Мария Колесникова находится в следственном изоляторе.
- Ее защита сообщила, что она пытается попасть в СИЗО и разобраться в ситуации.
- Колесникову поместили в СИЗО №1 в Минске, и ее отец подтвердил эту информацию.
- Адвокат Колесниковой считает, что она может быть подозреваемой в уголовном деле.
- Координационный совет был создан по инициативе Светланы Тихановской, которая победила на выборах главы государства.
- Белорусская генпрокуратура считает деятельность совета вне закона.
- Колесникова пыталась покинуть страну вместе с другими оппозиционерами, но ее паспорт был порван.
- Из семи членов президиума на свободе остается только Светлана Алексиевич, которая заявила, что совет не готовил переворота.",3,5,5,5,"Мария Колесникова, член президиума координационного совета оппозиции Белоруссии, находится в СИЗО. Её адвокат подтвердила эту информацию и отметила, что Колесникова может иметь процессуальный статус подозреваемой.

Координационный совет оппозиции был создан по инициативе основной соперницы Александра Лукашенко Светланы Тихановской. Его задача — наладить диалог между протестующим народом и властями страны. Однако белорусская генпрокуратура считает деятельность совета незаконной.

На данный момент на свободе остался только один член президиума — нобелевский лауреат Светлана Алексиевич. Она заявила, что совет не готовил государственный переворот, а хотел не допустить раскола в обществе.

В Белоруссии уже месяц не прекращаются массовые акции протеста, участники которых требуют проведения новых выборов. Официальные власти считают, что «выборы состоялись» и нет причин считать их нелегитимными.",3,3,5,5
"Аналитики Deutsche Bank обнародовали исследование, в котором предсказали наступление в 2020 году новой глобальной эпохи беспорядка. Глобализация, стартовавшая в 1980-м, заканчивается, наступает «век беспорядка». Об этом сообщает в четверг 10 сентября РБК со ссылкой на материалы Deutsche Bank. Стратег банка Джим Рейд утверждает, что новая эпоха будет характеризоваться тремя основными факторами: возвышением экономики Китая над США, усилением политики «вертолетных денег» и сменой поколений. Между США и КНР будет нарастать «холодная война» по мере увеличения экономического веса Поднебесной. Китай может обогнать США по ВВП уже к 2030 году, и по мере сокращения разрыва между экономиками будет нарастать эффект «ловушки Фукидида». Это означает риск появления военного конфликта между двумя конкурирующими в экономике державами. По подсчетам Deutsche Bank, за последние 500 лет возникало 16 таких ситуаций и в 12 случаях это приводило к войнам. Сейчас военный конфликт маловероятен, но возможна экономическая война, считают эксперты. Противостояние двух стран будет набирать обороты независимо от исхода президентских выборов в США и будет похоже на «холодную войну» между СССР и Америкой. Проявляться экономический конфликт будет ростом тарифов, санкциями, блокировкой активов, запретами на трансфер технологий. В итоге это приведет к формированию страновых блоков. Во главе с Китаем (страны Юго-Восточной Азии) и во главе с США (Канада, Япония, Южная Корея и Австралия). Кроме того, Китай, Россия, Евросоюз и Турция будут соперничать за влияние на Ближнем Востоке и в Африке. Европа между тем останется в состоянии экономической стагнации и сохранением перспективы распада. Пандемия придала новый импульс дезинтеграционным процессам, отмечают аналитики банка. Второй признак новой эпохи — продолжение наращивания правительствами разных стран глобального долга и усиление политики «вертолетных денег» от центробанков, то есть насыщение экономики доступными кредитами, дешевыми деньгами для стимулирования роста ВВП. «В будущем мы увидим больше кризисов, больше беспорядка и еще больше напечатанных денег», — пишет Deutsche Bank. Кроме монетарного мейнстрима, вероятнее всего, будет расти инфляция как следствие экспансии активов. Будет расти экономическое неравенство между странами и гражданами. Но только поначалу. В дальнейшем тренд развернется за счет того, что государства начнут все-таки взимать все больше и больше налогов с состоятельных. Третий признак смены эпох — укрепление поколения миллениалов, ставших взрослыми в XXI веке, и еще более молодых поколений. Они будут играть все большую роль в политике, в избирательных кампаниях. Их электоральный вес будет расти. Но это приведет к ужесточению конкуренции между лидирующими поколениями. Те же миллениалы и более молодые поколения к 2030 году догонят старшие поколения по численности, что позволит им определять результаты избирательных компаний по выборам в парламенты, президентских выборов. Они будут больше влиять на принятие решений по проблемам климата и экологии. Эксперты банка считают, что еще в текущем десятилетии, вероятнее всего, будет введен углеродный налог на загрязняющие выбросы. Все эти изменения — факторы риска и грядущей дестабилизации. Беспорядок будет определять новую эпоху, как минимум, в течение ближайшего десятилетия, считают немецкие эксперты. Впрочем, не всякий беспорядок является плохим, уточняет Deutsche Bank. «Мы должны подчеркнуть, что наступление нового времени не следует воспринимать как повод для отказа от покупок финансовых активов, поскольку новая эпоха принесет масштабные интервенции (монетарных властей) и ликвидность», — отмечают эксперты банка. Шокирующие прогнозы о будущем появляются в последние годы регулярно. Эксперты датского Saxo Bank в декабре прошлого года выдали на 2020 год такой прогноз: Трампу не избежать отрешения от власти, нефть снова подскочит в цене до $90 за баррель, а сам доллар, наоборот, ослабнет на 20%. Кроме того, развал Европы начнет не Великобритания, а Венгрия. «Все шокирующие предсказания будущего года связаны с подрывом устоев, нынешнее положение вещей неизбежно поменяется. Тема года — резкая смена заведенного порядка вещей, маятник качнется в противоположную сторону», — утверждал главный экономист банка Стин Якобсен, специально прилетевший в Москву из Копенгагена на презентацию своего очередного прогноза. Впрочем, шокирующие не означает «плохие или страшные», оговорился Якобсен. Скорее, это маловероятные и недооцененные обществом события, способные тем не менее встряхнуть мир.","В истории человечества наступает эпоха беспорядка, полагают аналитики Deutsche Bank. Ее главные признаки – «холодная война» между США и Китаем, политика «вертолетных денег» от центробанков и обесценение активов, а также усиление позиций миллениалов в политике. Но у новой реальности имеются и свои плюсы.",5,5,5,5,"В 2020 году в мире наступит новая эпоха беспорядка, предупреждают аналитики Deutsche Bank. По их мнению, это связано с возвышением экономики Китая над США, усилением политики «вертолетных денег» и сменой поколений.
",5,5,5,5,"Пандемия коронавируса привела к появлениям новой глобальной эпохи беспорядка, считают эксперты Deutsche Bank.
",3,4,5,5,"аналитики deutsche bank обнародовали исследование, в котором предсказали наступление в 2020 году новой глобальной эпохи беспорядка. глобализация, стартовавшая в 1980-м, заканчивается, наступает «век беспорядка». между сша и кнр будет нарастать «холодная война» по мере увеличения экономического веса поднебесной.
",4,4,4,5,"Аналитики Deutsche Bank предсказали наступление новой глобальной эпохи беспорядка к 2020 году. Это связано с экономическим ростом Китая, усилением политики ""вертолетных денег"" и сменой поколений. Возможен экономический конфликт между США и КНР, что может привести к формированию страновых блоков. Также ожидается увеличение глобального долга, инфляция и экономическое неравенство. Укрепление поколения миллениалов и более молодых поколений приведет к их большему влиянию на политические решения. Эксперты считают, что в ближайшем десятилетии может быть введен углеродный налог. Новая эпоха принесет масштабные интервенции и ликвидность, что не следует воспринимать как повод для отказа от покупок финансовых активов. Шокирующие прогнозы о будущем появляются регулярно, например, эксперты Saxo Bank предсказали Трампу отрешение от власти и резкий рост цены на нефть. Экономисты утверждают, что шокирующие события способны встряхнуть мир, но это не обязательно означает ""плохое или страшное"".",2,5,5,4,"Аналитики Deutsche Bank предполагают, что 2020 год станет началом новой эпохи беспорядка, характеризующейся усилением экономической конкуренции между Китаем и США, возможным нарастанием военной и экономической противостояния, а также изменением политического и демографического ландшафта. Это может привести к формированию страновых блоков, усилению разрывів между развивающимися и развитыми странами и повышению риска экономических кризисов.

",4,5,4,5,"- Аналитики Deutsche Bank предсказали наступление новой глобальной эпохи беспорядка в 2020 году.
- Глобализация заканчивается, наступает ""век беспорядка"".
- Новая эпоха будет характеризоваться возвышением экономики Китая над США, усилением ""вертолетных денег"" и сменой поколений.
- Между США и Китаем будет нарастать ""холодная война"" по мере увеличения экономического веса Китая.
- Китай может обогнать США по ВВП к 2030 году, что приведет к эффекту ""ловушки Фукидида"".
- Экономический конфликт между США и Китаем может привести к формированию страновых блоков.
- Пандемия придала новый импульс дезинтеграционным процессам.
- Продолжится наращивание глобального долга и усиление ""вертолетных денег"".
- Укрепление поколения миллениалов и молодых поколений приведет к ужесточению конкуренции.
- Беспорядок будет определять новую эпоху в течение ближайшего десятилетия.
- Эксперты Deutsche Bank считают, что новая эпоха принесет масштабные интервенции и ликвидность.",2,5,5,4,"Аналитики Deutsche Bank предсказали наступление в 2020 году новой глобальной эпохи беспорядка.

Эпоха будет характеризоваться возвышением экономики Китая над США, усилением политики «вертолётных денег» и сменой поколений. Между США и КНР будет нарастать «холодная война» по мере увеличения экономического веса Поднебесной.

Также ожидается рост экономического неравенства между странами и внутри стран, ужесточение конкуренции между поколениями и рост влияния миллениалов на принятие политических решений.

Эксперты банка считают, что все эти изменения — факторы риска и грядущей дестабилизации. Беспорядок будет определять новую эпоху, как минимум, в течение ближайшего десятилетия.",4,5,5,5
